P13929 AF-P13929-F1-model_v4.pdb
P13942 AF-P13942-F1-model_v4.pdb
P13945 AF-P13945-F1-model_v4.pdb
P13984 AF-P13984-F1-model_v4.pdb
P13985 AF-P13985-F1-model_v4.pdb
P13987 AF-P13987-F1-model_v4.pdb
P13994 AF-P13994-F1-model_v4.pdb
P13995 AF-P13995-F1-model_v4.pdb
P14060 AF-P14060-F1-model_v4.pdb
P14061 AF-P14061-F1-model_v4.pdb
P14091 AF-P14091-F1-model_v4.pdb
P14136 AF-P14136-F1-model_v4.pdb
P14138 AF-P14138-F1-model_v4.pdb
P14151 AF-P14151-F1-model_v4.pdb
P14174 AF-P14174-F1-model_v4.pdb
P14207 AF-P14207-F1-model_v4.pdb
P14209 AF-P14209-F1-model_v4.pdb
P14210 AF-P14210-F1-model_v4.pdb
P14222 AF-P14222-F1-model_v4.pdb
P14314 AF-P14314-F1-model_v4.pdb
P14316 AF-P14316-F1-model_v4.pdb
P14317 AF-P14317-F1-model_v4.pdb
P14324 AF-P14324-F1-model_v4.pdb
P14373 AF-P14373-F1-model_v4.pdb
P14384 AF-P14384-F1-model_v4.pdb
P14406 AF-P14406-F1-model_v4.pdb
P14410 AF-P14410-F1-model_v4.pdb
P14415 AF-P14415-F1-model_v4.pdb
P14416 AF-P14416-F1-model_v4.pdb
P14543 AF-P14543-F1-model_v4.pdb
P14550 AF-P14550-F1-model_v4.pdb
P14555 AF-P14555-F1-model_v4.pdb
P14598 AF-P14598-F1-model_v4.pdb
P14616 AF-P14616-F1-model_v4.pdb
P14618 AF-P14618-F1-model_v4.pdb
P14621 AF-P14621-F1-model_v4.pdb
P14625 AF-P14625-F1-model_v4.pdb
P14635 AF-P14635-F1-model_v4.pdb
P14649 AF-P14649-F1-model_v4.pdb
P14651 AF-P14651-F1-model_v4.pdb
P14652 AF-P14652-F1-model_v4.pdb
P14653 AF-P14653-F1-model_v4.pdb
P14672 AF-P14672-F1-model_v4.pdb
P14678 AF-P14678-F1-model_v4.pdb
P14679 AF-P14679-F1-model_v4.pdb
P14735 AF-P14735-F1-model_v4.pdb
P14770 AF-P14770-F1-model_v4.pdb
P14778 AF-P14778-F1-model_v4.pdb
P14780 AF-P14780-F1-model_v4.pdb
P14784 AF-P14784-F1-model_v4.pdb
P14854 AF-P14854-F1-model_v4.pdb
P14859 AF-P14859-F1-model_v4.pdb
P14866 AF-P14866-F1-model_v4.pdb
P14867 AF-P14867-F1-model_v4.pdb
P14868 AF-P14868-F1-model_v4.pdb
P14902 AF-P14902-F1-model_v4.pdb
P14920 AF-P14920-F1-model_v4.pdb
P14921 AF-P14921-F1-model_v4.pdb
P14923 AF-P14923-F1-model_v4.pdb
P14927 AF-P14927-F1-model_v4.pdb
P15018 AF-P15018-F1-model_v4.pdb
P15036 AF-P15036-F1-model_v4.pdb
P15056 AF-P15056-F1-model_v4.pdb
P15085 AF-P15085-F1-model_v4.pdb
P15086 AF-P15086-F1-model_v4.pdb
P15088 AF-P15088-F1-model_v4.pdb
