O95256 AF-O95256-F1-model_v4.pdb
O95257 AF-O95257-F1-model_v4.pdb
O95258 AF-O95258-F1-model_v4.pdb
O95259 AF-O95259-F1-model_v4.pdb
O95260 AF-O95260-F1-model_v4.pdb
O95263 AF-O95263-F1-model_v4.pdb
O95264 AF-O95264-F1-model_v4.pdb
O95267 AF-O95267-F1-model_v4.pdb
O95271 AF-O95271-F1-model_v4.pdb
O95273 AF-O95273-F1-model_v4.pdb
O95274 AF-O95274-F1-model_v4.pdb
O95279 AF-O95279-F1-model_v4.pdb
O95292 AF-O95292-F1-model_v4.pdb
O95294 AF-O95294-F1-model_v4.pdb
O95295 AF-O95295-F1-model_v4.pdb
O95297 AF-O95297-F1-model_v4.pdb
O95298 AF-O95298-F1-model_v4.pdb
O95299 AF-O95299-F1-model_v4.pdb
O95302 AF-O95302-F1-model_v4.pdb
O95319 AF-O95319-F1-model_v4.pdb
O95336 AF-O95336-F1-model_v4.pdb
O95340 AF-O95340-F1-model_v4.pdb
O95342 AF-O95342-F1-model_v4.pdb
O95343 AF-O95343-F1-model_v4.pdb
O95347 AF-O95347-F1-model_v4.pdb
O95352 AF-O95352-F1-model_v4.pdb
O95359 AF-O95359-F1-model_v4.pdb
O95644 AF-O95644-F1-model_v4.pdb
O95661 AF-O95661-F1-model_v4.pdb
O95665 AF-O95665-F1-model_v4.pdb
O95670 AF-O95670-F1-model_v4.pdb
O95671 AF-O95671-F1-model_v4.pdb
O95672 AF-O95672-F1-model_v4.pdb
O95674 AF-O95674-F1-model_v4.pdb
O95677 AF-O95677-F1-model_v4.pdb
O95678 AF-O95678-F1-model_v4.pdb
O95684 AF-O95684-F1-model_v4.pdb
O95685 AF-O95685-F1-model_v4.pdb
O95696 AF-O95696-F1-model_v4.pdb
O95704 AF-O95704-F1-model_v4.pdb
O95707 AF-O95707-F1-model_v4.pdb
O95711 AF-O95711-F1-model_v4.pdb
O95714 AF-O95714-F1-model_v4.pdb
O95473 AF-O95473-F1-model_v4.pdb
O95475 AF-O95475-F1-model_v4.pdb
O95476 AF-O95476-F1-model_v4.pdb
O95477 AF-O95477-F1-model_v4.pdb
O95478 AF-O95478-F1-model_v4.pdb
O95479 AF-O95479-F1-model_v4.pdb
