INFO:2025-10-30 14:26:03,817:Starting HSC computation pipeline...
INFO:2025-10-30 14:27:03,411:Processing A0A286YF77 with model AF-A0A286YF77-F1-model_v4.pdb
ERROR:2025-10-30 14:27:03,474:No transcript record found for A0A286YF77 in gnomAD.
INFO:2025-10-30 14:27:03,474:Processing A0A286YFB4 with model AF-A0A286YFB4-F1-model_v4.pdb
ERROR:2025-10-30 14:27:03,509:No transcript record found for A0A286YFB4 in gnomAD.
INFO:2025-10-30 14:27:03,509:Processing A0A286YFG1 with model AF-A0A286YFG1-F1-model_v4.pdb
ERROR:2025-10-30 14:27:03,540:No transcript record found for A0A286YFG1 in gnomAD.
INFO:2025-10-30 14:27:03,540:Processing A0A286YFK9 with model AF-A0A286YFK9-F1-model_v4.pdb
ERROR:2025-10-30 14:27:03,572:No transcript record found for A0A286YFK9 in gnomAD.
INFO:2025-10-30 14:27:03,572:Processing A0A2R8Y2Y2 with model AF-A0A2R8Y2Y2-F1-model_v4.pdb
ERROR:2025-10-30 14:27:03,633:No transcript record found for A0A2R8Y2Y2 in gnomAD.
INFO:2025-10-30 14:27:03,633:Processing A0A2R8Y422 with model AF-A0A2R8Y422-F1-model_v4.pdb
ERROR:2025-10-30 14:27:03,677:No ENST transcript IDs were mapped to A0A2R8Y422
INFO:2025-10-30 14:27:03,677:Processing A0A2R8Y4L2 with model AF-A0A2R8Y4L2-F1-model_v4.pdb
ERROR:2025-10-30 14:27:03,760:No transcript record found for A0A2R8Y4L2 in gnomAD.
INFO:2025-10-30 14:27:03,760:Processing A0A2R8Y4L6 with model AF-A0A2R8Y4L6-F1-model_v4.pdb
ERROR:2025-10-30 14:27:03,827:No transcript record found for A0A2R8Y4L6 in gnomAD.
INFO:2025-10-30 14:27:03,827:Processing A0A2R8Y4M2 with model AF-A0A2R8Y4M2-F1-model_v4.pdb
ERROR:2025-10-30 14:27:03,853:No transcript record found for A0A2R8Y4M2 in gnomAD.
INFO:2025-10-30 14:27:03,853:Processing A0A2R8Y4M4 with model AF-A0A2R8Y4M4-F1-model_v4.pdb
ERROR:2025-10-30 14:27:03,912:No transcript record found for A0A2R8Y4M4 in gnomAD.
INFO:2025-10-30 14:27:03,912:Processing A0A2R8Y4Y8 with model AF-A0A2R8Y4Y8-F1-model_v4.pdb
ERROR:2025-10-30 14:27:03,970:No transcript record found for A0A2R8Y4Y8 in gnomAD.
INFO:2025-10-30 14:27:03,970:Processing A0A2R8Y556 with model AF-A0A2R8Y556-F1-model_v4.pdb
ERROR:2025-10-30 14:27:04,001:No transcript record found for A0A2R8Y556 in gnomAD.
INFO:2025-10-30 14:27:04,001:Processing A0A2R8Y5M8 with model AF-A0A2R8Y5M8-F1-model_v4.pdb
ERROR:2025-10-30 14:27:04,150:No transcript record found for A0A2R8Y5M8 in gnomAD.
INFO:2025-10-30 14:27:04,151:Processing A0A2R8Y619 with model AF-A0A2R8Y619-F1-model_v4.pdb
ERROR:2025-10-30 14:27:04,188:No transcript record found for A0A2R8Y619 in gnomAD.
INFO:2025-10-30 14:27:04,188:Processing A0A2R8Y747 with model AF-A0A2R8Y747-F1-model_v4.pdb
ERROR:2025-10-30 14:27:04,233:No transcript record found for A0A2R8Y747 in gnomAD.
INFO:2025-10-30 14:27:04,233:Processing A0A2R8Y7D0 with model AF-A0A2R8Y7D0-F1-model_v4.pdb
ERROR:2025-10-30 14:27:04,266:No transcript record found for A0A2R8Y7D0 in gnomAD.
INFO:2025-10-30 14:27:04,266:Processing A0A2R8Y7Y5 with model AF-A0A2R8Y7Y5-F1-model_v4.pdb
ERROR:2025-10-30 14:27:04,319:No transcript record found for A0A2R8Y7Y5 in gnomAD.
INFO:2025-10-30 14:27:04,319:Processing A0A2R8YCJ5 with model AF-A0A2R8YCJ5-F1-model_v4.pdb
ERROR:2025-10-30 14:27:04,569:No transcript record found for A0A2R8YCJ5 in gnomAD.
INFO:2025-10-30 14:27:04,569:Processing A0A2R8YCY7 with model AF-A0A2R8YCY7-F1-model_v4.pdb
ERROR:2025-10-30 14:27:04,640:No valid CDS found for A0A2R8YCY7
INFO:2025-10-30 14:27:04,640:Processing A0A2R8YD15 with model AF-A0A2R8YD15-F1-model_v4.pdb
ERROR:2025-10-30 14:27:04,651:No transcript record found for A0A2R8YD15 in gnomAD.
INFO:2025-10-30 14:27:04,651:Processing A0A2R8YE69 with model AF-A0A2R8YE69-F1-model_v4.pdb
ERROR:2025-10-30 14:27:04,776:No valid CDS found for A0A2R8YE69
INFO:2025-10-30 14:27:04,776:Processing A0A2R8YED5 with model AF-A0A2R8YED5-F1-model_v4.pdb
ERROR:2025-10-30 14:27:04,910:No transcript record found for A0A2R8YED5 in gnomAD.
INFO:2025-10-30 14:27:04,910:Processing A0A2R8YEG4 with model AF-A0A2R8YEG4-F1-model_v4.pdb
ERROR:2025-10-30 14:27:04,986:No valid CDS found for A0A2R8YEG4
INFO:2025-10-30 14:27:04,986:Processing A0A2R8YEH3 with model AF-A0A2R8YEH3-F1-model_v4.pdb
ERROR:2025-10-30 14:27:05,056:No valid CDS found for A0A2R8YEH3
INFO:2025-10-30 14:27:05,056:Processing A0A2R8YEV3 with model AF-A0A2R8YEV3-F1-model_v4.pdb
ERROR:2025-10-30 14:27:05,125:No valid CDS found for A0A2R8YEV3
INFO:2025-10-30 14:27:05,125:Processing A0A2R8YFL7 with model AF-A0A2R8YFL7-F1-model_v4.pdb
ERROR:2025-10-30 14:27:05,234:No transcript record found for A0A2R8YFL7 in gnomAD.
INFO:2025-10-30 14:27:05,234:Processing A0A2R8YFM6 with model AF-A0A2R8YFM6-F1-model_v4.pdb
ERROR:2025-10-30 14:27:05,296:No transcript record found for A0A2R8YFM6 in gnomAD.
INFO:2025-10-30 14:27:05,297:Processing A0A2R8YFR7 with model AF-A0A2R8YFR7-F1-model_v4.pdb
ERROR:2025-10-30 14:27:05,645:No valid CDS found for A0A2R8YFR7
INFO:2025-10-30 14:27:05,645:Processing A0A2U3TZM8 with model AF-A0A2U3TZM8-F1-model_v4.pdb
INFO:2025-10-30 14:27:05,693:Computing HSC features for: A0A2U3TZM8, ENST00000395248, ../Ntranos_Rotation/ESM-SaProt/AF-A0A2U3TZM8-F1-model_v4.pdb.gz
INFO:2025-10-30 14:27:34,374:Successfully computed HSC for A0A2U3TZM8.
INFO:2025-10-30 14:27:34,374:Processing A0A2Z4LIS9 with model AF-A0A2Z4LIS9-F1-model_v4.pdb
ERROR:2025-10-30 14:27:34,478:No transcript record found for A0A2Z4LIS9 in gnomAD.
INFO:2025-10-30 14:27:34,478:Processing A0A376A8Z9 with model AF-A0A376A8Z9-F1-model_v4.pdb
ERROR:2025-10-30 14:27:34,545:No transcript record found for A0A376A8Z9 in gnomAD.
INFO:2025-10-30 14:27:34,545:Processing A0A3B3IRQ3 with model AF-A0A3B3IRQ3-F1-model_v4.pdb
ERROR:2025-10-30 14:27:34,594:No transcript record found for A0A3B3IRQ3 in gnomAD.
INFO:2025-10-30 14:27:34,594:Processing A0A3B3IRS2 with model AF-A0A3B3IRS2-F1-model_v4.pdb
ERROR:2025-10-30 14:27:34,630:No transcript record found for A0A3B3IRS2 in gnomAD.
INFO:2025-10-30 14:27:34,630:Processing A0A3B3IRV3 with model AF-A0A3B3IRV3-F1-model_v4.pdb
ERROR:2025-10-30 14:27:34,674:No transcript record found for A0A3B3IRV3 in gnomAD.
INFO:2025-10-30 14:27:34,674:Processing A0A3B3IT33 with model AF-A0A3B3IT33-F1-model_v4.pdb
ERROR:2025-10-30 14:27:34,797:No transcript record found for A0A3B3IT33 in gnomAD.
INFO:2025-10-30 14:27:34,798:Processing A0A3B3IT34 with model AF-A0A3B3IT34-F1-model_v4.pdb
ERROR:2025-10-30 14:27:34,827:No transcript record found for A0A3B3IT34 in gnomAD.
INFO:2025-10-30 14:27:34,827:Processing A0A3B3IT45 with model AF-A0A3B3IT45-F1-model_v4.pdb
ERROR:2025-10-30 14:27:34,912:No transcript record found for A0A3B3IT45 in gnomAD.
INFO:2025-10-30 14:27:34,912:Processing A0A3B3IT52 with model AF-A0A3B3IT52-F1-model_v4.pdb
ERROR:2025-10-30 14:27:35,006:No transcript record found for A0A3B3IT52 in gnomAD.
INFO:2025-10-30 14:27:35,007:Processing A0A3B3IU46 with model AF-A0A3B3IU46-F1-model_v4.pdb
ERROR:2025-10-30 14:27:35,031:No transcript record found for A0A3B3IU46 in gnomAD.
INFO:2025-10-30 14:27:35,031:Processing A0A3B3IU63 with model AF-A0A3B3IU63-F1-model_v4.pdb
ERROR:2025-10-30 14:27:35,110:No transcript record found for A0A3B3IU63 in gnomAD.
INFO:2025-10-30 14:27:35,110:Processing A0A494BZU2 with model AF-A0A494BZU2-F1-model_v4.pdb
ERROR:2025-10-30 14:27:35,131:No transcript record found for A0A494BZU2 in gnomAD.
INFO:2025-10-30 14:27:35,131:Processing A0A494BZU4 with model AF-A0A494BZU4-F1-model_v4.pdb
ERROR:2025-10-30 14:27:35,190:No transcript record found for A0A494BZU4 in gnomAD.
INFO:2025-10-30 14:27:35,190:Processing A0A494BZZ5 with model AF-A0A494BZZ5-F1-model_v4.pdb
ERROR:2025-10-30 14:27:35,230:No ENST transcript IDs were mapped to A0A494BZZ5
INFO:2025-10-30 14:27:35,230:Processing A0A494C030 with model AF-A0A494C030-F1-model_v4.pdb
ERROR:2025-10-30 14:27:35,296:No transcript record found for A0A494C030 in gnomAD.
INFO:2025-10-30 14:27:35,296:Processing A0A494C071 with model AF-A0A494C071-F1-model_v4.pdb
ERROR:2025-10-30 14:27:35,644:No transcript record found for A0A494C071 in gnomAD.
INFO:2025-10-30 14:27:35,644:Processing A0A494C086 with model AF-A0A494C086-F1-model_v4.pdb
ERROR:2025-10-30 14:27:35,760:No transcript record found for A0A494C086 in gnomAD.
INFO:2025-10-30 14:27:35,760:Processing A0A494C0B9 with model AF-A0A494C0B9-F1-model_v4.pdb
ERROR:2025-10-30 14:27:35,782:No ENST transcript IDs were mapped to A0A494C0B9
INFO:2025-10-30 14:27:35,783:Processing A0A494C0I6 with model AF-A0A494C0I6-F1-model_v4.pdb
